,MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
07c62c3d11,0.08750000000000002,0.20035667894414044,36,80,0.5921787709497207,0.5353535353535354,0.6625,0.6625,0.5353535353535354,2,0,1,46,27,0,1
07cc1c7d74,0.9444444444444444,0.1970188644251504,36,36,0.9714285714285714,1.0,0.9444444444444444,0.9444444444444444,1.0,1,0,0,0,2,0,2
080196ef01,1.0,0.14322124752292142,36,72,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
081d8250cb,0.6166666666666667,0.25934401852068084,20,60,0.7966101694915254,0.8103448275862069,0.7833333333333333,0.8166666666666667,0.8448275862068966,2,1,0,9,11,3,2
08aa2705d5,0.9444444444444444,0.2516447500711733,36,36,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,1,0,0,1,1,0,1
08d50b926c,0.6818181818181819,0.25252926255212776,36,44,0.8409090909090909,0.8409090909090909,0.8409090909090909,0.8409090909090909,0.8409090909090909,1,0,1,7,7,0,0
08e48c1a48,1.0,0.2637735462254587,19,19,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
08f561c65e,1.0,0.1835692583274483,36,72,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
093c335ccc,-0.11111111111111116,0.2873433918631312,29,54,0.4642857142857143,0.4482758620689655,0.48148148148148145,0.48148148148148145,0.4482758620689655,0,2,0,32,28,0,7
0970d28339,0.4444444444444444,0.23591402663149522,36,72,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,1,1,0,20,20,0,0
097b471ed8,0.675,0.17628945059256884,20,40,0.8354430379746836,0.8461538461538461,0.825,0.825,0.8461538461538461,1,1,0,6,7,0,2
0990941758,1.0,0.1387478132047845,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
09a348f4fa,1.0,0.20339673096127484,30,30,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
09a6841288,0.75,0.23248962195891185,20,40,0.875,0.875,0.875,0.875,0.875,1,1,0,5,5,0,0
09c5bad17b,1.0,0.10359994128771695,20,20,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
09c9ce80c7,1.0,0.16067704244575404,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
09ff54fef4,0.18965517241379315,0.29866422317541846,30,58,0.43103448275862066,0.43103448275862066,0.43103448275862066,0.603448275862069,0.603448275862069,0,2,0,23,23,1,8
0a23765d15,-0.5806451612903225,0.17273716953789842,19,62,0.25757575757575757,0.24285714285714285,0.27419354838709675,0.27419354838709675,0.24285714285714285,0,2,2,53,45,0,2
0a275e7f12,1.0,0.1871010378269931,20,20,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0a2f2bd294,1.0,0.19383327658600527,20,20,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0a7a2514aa,1.0,0.16832110048920157,20,40,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
0a8c467cc3,0.009433962264150941,0.3232551546842841,36,106,0.4953271028037383,0.49074074074074076,0.5,0.5471698113207547,0.5370370370370371,1,1,1,50,48,7,9
0b1627e896,1.0,0.10356631953264728,20,20,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0b285c47f6,0.31034482758620685,0.19406952084184437,29,58,0.6551724137931034,0.6551724137931034,0.6551724137931034,0.6551724137931034,0.6551724137931034,1,1,0,20,20,0,0
0b34ec1d55,0.9444444444444444,0.11713241542986419,36,36,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,1,0,0,1,1,0,1
0b5b5e8e5a,1.0,0.20613060119931753,20,40,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
